Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
13,GUILLAUME,GLAIRON MONDET,FRA,3t3 3b3,0t 3b9,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
15,MATHIAS,CONRAD,GER,4t8 5b9,0t 3b10,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
16,MARIO,LECHNER,AUT,3t4 4b6,0t 2b4,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
17,NICOLAS,JANUEL,FRA,3t4 4b5,0t 2b5,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
18,LOÏC,GAIDIOZ,FRA,4t4 5b6,0t 2b6,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
18,MYKHAYLO,SHALAGIN,UKR,3t4 4b5,0t 2b6,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
20,DANIEL,ANDERSSON,SWE,4t8 5b10,0t 1b1,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
21,JAN,HAIKO,AUT,5t20 5b16,0t 1b8,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
22,NICOLAS,FARCY,BEL,3t3 3b3,0t 1b10,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
23,SACHI,AMMA,JPN,4t8 4b8,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
23,JAKOB,SCHUBERT,AUT,3t4 4b10,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
25,FRANCOIS,KAISER,FRA,4t9 5b13,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
25,ALEKSEY,RUBTSOV,RUS,3t5 4b4,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
27,DAVID,BARRANS,GBR,3t5 4b6,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
27,ANDRZEJ,MECHERZYNSKI-WIKTOR,POL,4t9 4b9,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
27,LUCAS,PRETI,ITA,4t9 4b9,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
27,CHRISTOPHER,WEBB-PARSONS,AUS,3t5 4b6,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
31,CHRISTIAN,CORE,ITA,4t10 4b10,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
31,NICKY,DE LEEUW,NED,3t5 4b8,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
33,BENJAMIN,BLASER,SUI,3t5 4b9,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
33,TSUKURU,HORI,JPN,3t4 4b6,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
33,ETHAN,PRINGLE,USA,3t5 4b9,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
36,ANTHONY,GULLSTEN,FIN,3t4 4b9,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
37,SYLVAIN,ROCHE,FRA,3t5 4b10,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
37,REMO,SOMMER,SUI,3t4 3b3,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
39,JAMES,KASSAY,AUS,3t5 5b8,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
39,REMI,SAMYN,FRA,3t6 4b8,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
41,STÉPHAN,JULIEN,FRA,3t6 4b9,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
41,STEWART,WATSON,GBR,3t5 5b9,,,Vienna_(AUT)_2012,27 April - 28 April 2012,Men
